sid,effective_from,effective_to,cik10,issuer_name,mapping_basis,evidence_url,review_status,notes
sec::MJN,,,0001452575,Mead Johnson Nutrition Company,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1452575/000145257516000063/mjn2015form10-k.htm,verified_override,Historical MJN issuer.
sec::MNK,,,0001567892,Mallinckrodt public limited company,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1567892/000156789214000040/mnk10-k92614.htm,verified_override,Post-separation Mallinckrodt issuer.
sec::MWV,1996-01-02,2002-01-29,0000106498,Westvaco Corporation,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/106498/000010649801500073/0000106498-01-500073-index.html,verified_override,Accounting predecessor before the MeadWestvaco merger.
sec::MWV,2002-01-29,2015-07-02,0001159297,MeadWestvaco Corporation,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1159297/000095010903000995/d10k.htm,verified_override,Successor holding company after the 2002 merger.
sec::MXIM,,,0000743316,Maxim Integrated Products Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/743316/000074331621000025/0000743316-21-000025-index.html,verified_override,Historical MXIM issuer.
sec::MYL,2004-04-23,2015-02-27,0000069499,Mylan Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/69499/000006949915000003/myl10k_20141231xdoc.htm,verified_override,Mylan predecessor before the 2015 reorganization.
sec::MYL,2015-02-27,2020-11-17,0001623613,Mylan N.V.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/69499/000119312517000864/d317975d424b3.htm,verified_override,Successor issuer after the 2015 reorganization.
sec::NBL,,,0000072207,Noble Energy Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/72207/000007220720000010/nbl-20191231x10k.htm,verified_override,Historical NBL issuer.
sec::NFX,,,0000912750,Newfield Exploration Company,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/912750/000091275018000004/nfx201710-k.htm,verified_override,Historical NFX issuer.
sec::PBCT,,,0001378946,People's United Financial Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1378946/000162828021003563/pbct-20201231.htm,verified_override,Listed holding-company CIK rather than banking subsidiary.
sec::PCL,,,0000849213,Plum Creek Timber Company Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/849213/000119312514403550/d817669ds3asr.htm,verified_override,Historical PCL issuer.
sec::PCP,,,0000079958,Precision Castparts Corp.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/79958/000119312509120337/d10k.htm,verified_override,Historical PCP issuer.
sec::PEAK,,,0000765880,Healthpeak Properties Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/765880/000076588019000006/form8-kxnamechangeandp.htm,verified_override,"Same registrant from HCP to PEAK; rejects HashiCorp CIK 0001720671."
sec::PETM,,,0000863157,PetSmart Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/863157/000086315713000059/0000863157-13-000059-index.htm,verified_override,Historical PETM issuer.
sec::QEP,,,0001108827,QEP Resources Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1108827/000110882716000057/qep-20151231x10k.htm,verified_override,Historical QEP issuer.
sec::RAI,2002-09-04,2004-07-30,0000083612,R.J. Reynolds Tobacco Holdings Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/83612/000095014404002021/g87383e10vk.htm,verified_override,Predecessor issuer before Reynolds American formation.
sec::RAI,2004-07-30,2017-07-25,0001275283,Reynolds American Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1275283/000095014404007507/g90221exv99w1.htm,verified_override,Successor issuer formed in 2004.
sec::RDC,,,0000085408,Rowan Companies plc,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/85408/000008540817000006/rdc-12312016x10k.htm,verified_override,Redomiciliation retained the same CIK.
sec::RHT,,,0001087423,Red Hat Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1087423/000108742319000012/0001087423-19-000012-index.htm,verified_override,Historical RHT issuer.
sec::RTN,1996-01-02,1997-12-17,0000082267,Raytheon Company (legacy),reviewed_sec_filing,https://data.sec.gov/submissions/CIK0000082267.json,verified_override,Legacy Raytheon before the 1997 merger.
sec::RTN,1997-12-17,2020-04-06,0001047122,Raytheon Company (successor),reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1047122/000119312507037249/d10k.htm,verified_override,Surviving listed issuer after the 1997 merger.
sec::SCG,,,0000754737,SCANA Corporation,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/91882/0000754737-19-000008-index.htm,verified_override,Listed parent rather than SCE&G subsidiary.
sec::SIAL,,,0000090185,Sigma-Aldrich Corporation,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/90185/000009018514000028/0000090185-14-000028-index.htm,verified_override,Historical SIAL issuer.
sec::SNI,,,0001430602,Scripps Networks Interactive Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1430602/000156459018003452/sni-10k_20171231.htm,verified_override,Historical SNI issuer.
sec::SPLS,,,0000791519,Staples Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/791519/000079151917000020/spls10-k01282017.htm,verified_override,Historical SPLS issuer.
sec::STJ,,,0000203077,St. Jude Medical Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/203077/000020307716000013/stj20150102201610-k.htm,verified_override,Historical STJ issuer.
sec::SWY,,,0000086144,Safeway Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/86144/000008614414000009/swy-122813x10k.htm,verified_override,Historical SWY issuer.
sec::TEG,,,0000916863,Integrys Energy Group Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/916863/000091686315000004/a2014teg10k.htm,verified_override,Historical TEG issuer.
sec::TIF,,,0000098246,Tiffany & Co.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/98246/000009824620000042/tif-2020131x10k.htm,verified_override,Historical TIF issuer.
sec::TSS,,,0000721683,Total System Services Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/721683/000155837019000862/tss-20181231x10k.htm,verified_override,Historical TSS issuer.
sec::TWC,,,0001377013,Time Warner Cable Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1377013/000119312516461316/d115824d10k.htm,verified_override,Time Warner Cable rather than Time Warner parent.
sec::TWX,1996-01-02,2001-01-11,0001021387,Time Warner Inc. (legacy),reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1021387/000088378000000065/0000883780-00-000065-index.htm,verified_override,Legacy issuer before the AOL Time Warner merger.
sec::TWX,2001-01-11,2018-06-15,0001105705,AOL Time Warner Inc. / Time Warner Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1105705/000095011701000063/0000950117-01-000063-index.html,verified_override,Successor issuer after the 2001 merger.
sec::VAR,,,0000203527,Varian Medical Systems Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/203527/000020352720000027/var-20201002.htm,verified_override,Frozen membership extends slightly beyond acquisition; execution layer retains tradability checks.
sec::VIAB,,,0001339947,Viacom Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1339947/000133994718000046/via2018093010k.htm,verified_override,Post-2005 new Viacom issuer.
sec::WCG,,,0001279363,WellCare Health Plans Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1279363/0001279363-19-000031-index.html,verified_override,Frozen membership extends slightly beyond acquisition; execution layer retains tradability checks.
sec::WFM,,,0000865436,Whole Foods Market Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/865436/000086543616000366/wfm10k2016.htm,verified_override,Historical WFM issuer.
sec::WIN,,,0001282266,Windstream Holdings Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1282266/000128226614000008/a201310k.htm,verified_override,Listed WIN issuer; excludes operating-subsidiary CIK.
sec::XEC,,,0001168054,Cimarex Energy Co.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1168054/000116805419000006/0001168054-19-000006-index.html,verified_override,Historical XEC issuer.
sec::XLNX,,,0000743988,Xilinx Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/743988/000074398821000045/R1.htm,verified_override,Historical XLNX issuer through AMD acquisition.
sec::ADT,,,0001546640,The ADT Corporation,reviewed_sec_temporal_support,https://www.sec.gov/edgar/browse/?CIK=1546640,verified_override,Historical ADT issuer; rejects the later ADT Inc. ticker reuse.
sec::ALTR,,,0000768251,Altera Corporation,reviewed_sec_temporal_support,https://www.sec.gov/edgar/browse/?CIK=768251,verified_override,Historical Altera issuer through the 2015 Intel acquisition; rejects later Altair ticker reuse.
sec::APC,,,0000773910,Anadarko Petroleum Corporation,reviewed_sec_temporal_support,https://www.sec.gov/edgar/browse/?CIK=773910,verified_override,Historical APC issuer through the 2019 Occidental acquisition; rejects current ARKO Petroleum ticker reuse.
sec::BBT,,,0000092230,BB&T Corporation,reviewed_sec_temporal_support,https://www.sec.gov/edgar/browse/?CIK=92230,verified_override,Historical BB&T issuer through the 2019 Truist combination; rejects current Beacon Financial ticker reuse.
sec::CCEP,,,0001491675,Coca-Cola Enterprises Inc.,reviewed_sec_temporal_support,https://www.sec.gov/edgar/browse/?CIK=1491675,verified_override,Normalized CCEP membership episode precedes the May 2016 combination and belongs to the listed CCE predecessor.
sec::DINO,,,0000048039,HollyFrontier Corporation,reviewed_sec_temporal_support,https://www.sec.gov/edgar/browse/?CIK=48039,verified_override,The frozen DINO/HFC membership episode ends before the 2022 HF Sinclair successor CIK begins.
sec::DNB,,,0001115222,The Dun & Bradstreet Corporation,reviewed_sec_temporal_support,https://www.sec.gov/edgar/browse/?CIK=1115222,verified_override,Historical DNB issuer through the 2019 take-private; rejects the later relisted DNB issuer.
sec::DXC,1996-01-02,2015-12-01,0000023082,Computer Sciences Corporation,reviewed_sec_filing,https://www.sec.gov/edgar/browse/?CIK=23082,verified_override,CSC membership episode; the later nonmember gap is intentionally not bridged.
sec::DXC,2017-04-04,2023-10-02,0001688568,DXC Technology Company,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1688568/000119312517112036/d250548d8k.htm,verified_override,DXC membership episode after regular-way trading began; the prior nonmember gap remains unmapped.
sec::FTI,2009-06-05,2017-01-17,0001135152,FMC Technologies Inc.,reviewed_sec_filing,https://www.sec.gov/edgar/browse/?CIK=1135152,verified_override,FMC Technologies predecessor before the TechnipFMC combination.
sec::FTI,2017-01-17,,0001681459,TechnipFMC plc,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1681459/000119312517010409/d320389d8k.htm,verified_override,TechnipFMC combined issuer from 2017-01-17 trading.
sec::MON,,,0001110783,Monsanto Company,reviewed_sec_temporal_support,https://www.sec.gov/edgar/browse/?CIK=1110783,verified_override,Historical Monsanto issuer through the 2018 Bayer acquisition; rejects later MON ticker reuse.
sec::NE,,,0001458891,Noble Corporation plc,reviewed_sec_temporal_support,https://www.sec.gov/edgar/browse/?CIK=1458891,verified_override,Historical Noble issuer for the frozen membership episode; rejects the post-bankruptcy successor CIK.
sec::PARA_B,,,0000813828,Viacom Inc. / CBS Corporation / ViacomCBS Inc. / Paramount Global,reviewed_sec_temporal_support,https://www.sec.gov/edgar/browse/?CIK=813828,verified_override,Class B Viacom-to-CBS-to-ViacomCBS-to-Paramount issuer chain; rejects the recycled PARA ticker now used by Banzai.
sec::PLL,,,0000075829,Pall Corporation,reviewed_sec_temporal_support,https://www.sec.gov/edgar/browse/?CIK=75829,verified_override,Historical Pall issuer through the 2015 Danaher acquisition; rejects later Piedmont Lithium ticker reuse.
sec::POM,,,0001135971,Pepco Holdings Inc.,reviewed_sec_temporal_support,https://www.sec.gov/edgar/browse/?CIK=1135971,verified_override,Historical Pepco issuer through the 2016 Exelon acquisition; rejects current POMDOCTOR ticker reuse.
sec::PRGO,2011-12-19,2013-12-18,0000820096,Perrigo Company,reviewed_sec_filing,https://www.sec.gov/edgar/browse/?CIK=820096,verified_override,US Perrigo predecessor before the Irish holding-company transaction.
sec::PRGO,2013-12-18,,0001585364,Perrigo Company plc,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/737572/000119312513477801/d646802dex991.htm,verified_override,Irish Perrigo successor from the 2013-12-18 transaction.
sec::PX,,,0000884905,Praxair Inc.,reviewed_sec_temporal_support,https://www.sec.gov/edgar/browse/?CIK=884905,verified_override,Historical Praxair issuer through the 2018 Linde combination; rejects later PX ticker reuse.
sec::SE,,,0001373835,Spectra Energy Corp.,reviewed_sec_temporal_support,https://www.sec.gov/edgar/browse/?CIK=1373835,verified_override,Historical Spectra Energy issuer through the 2017 Enbridge acquisition; rejects current Sea Ltd ticker reuse.
sec::STI,,,0000750556,SunTrust Banks Inc.,reviewed_sec_temporal_support,https://www.sec.gov/edgar/browse/?CIK=750556,verified_override,Historical SunTrust issuer through the 2019 Truist combination; rejects current Solidion ticker reuse.
sec::TE,,,0000350563,TECO Energy Inc.,reviewed_sec_temporal_support,https://www.sec.gov/edgar/browse/?CIK=350563,verified_override,Historical TECO issuer through the 2016 Emera acquisition; rejects current T1 Energy ticker reuse.
sec::XL,,,0000875159,XL Group plc / XL Group Ltd,reviewed_sec_temporal_support,https://www.sec.gov/edgar/browse/?CIK=875159,verified_override,Historical XL Group issuer through its 2016 re-registration and the 2018 AXA acquisition; rejects later XL ticker reuse.
sec::XOM,,,0000034088,Exxon Mobil Corporation,reviewed_sec_temporal_support,https://www.sec.gov/edgar/browse/?CIK=34088,verified_override,The market bundle ends 2026-06-30 before the later ExxonMobil Holdings successor CIK can become relevant.
sec::XRX,1996-01-02,2019-07-31,0000108772,Xerox Corporation,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/108772/000119312519208952/d781319d8k.htm,verified_override,Public predecessor before the 2019 holding-company reorganization.
sec::XRX,2019-07-31,,0001770450,Xerox Holdings Corporation,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/108772/000119312519208952/d781319d8k.htm,verified_override,One-for-one public holding-company successor from 2019-07-31.
sec::APA,1997-07-28,2021-03-02,0000006769,Apache Corporation,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1841666/000119312521063695/d127090d8k12b.htm,verified_override,Apache predecessor through the holding-company reorganization; APA successor trading began 2021-03-02.
sec::APA,2021-03-02,,0001841666,APA Corporation,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1841666/000119312521063695/d127090d8k12b.htm,verified_override,APA public holding-company successor from 2021-03-02 trading.
sec::AVGO,2014-05-08,2016-02-01,0001441634,Avago Technologies Limited,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1730168/000173016818000084/avgo-11042018x10k.htm,verified_override,Avago predecessor period identified in the Broadcom successor filing.
sec::AVGO,2016-02-01,2018-04-05,0001649338,Broadcom Limited,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1730168/000173016818000084/avgo-11042018x10k.htm,verified_override,Singapore Broadcom predecessor after the Avago/Broadcom transaction and before US redomiciliation.
sec::AVGO,2018-04-05,,0001730168,Broadcom Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1730168/000173016818000084/avgo-11042018x10k.htm,verified_override,US Broadcom successor from the session after the 2018-04-04 close-of-market redomiciliation.
sec::BBBY,,,0000886158,Bed Bath & Beyond Inc.,reviewed_sec_temporal_support,https://www.sec.gov/edgar/browse/?CIK=886158,verified_override,Historical Bed Bath issuer; rejects the later Overstock/Beyond/Neighborhood ticker lineage.
sec::BKR,1996-01-02,2017-07-04,0000808362,Baker Hughes Incorporated,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/808362/000119312517220863/d343454d8k12b.htm,verified_override,Baker Hughes predecessor through the 2017-07-03 close and delisting.
sec::BKR,2017-07-04,,0001701605,Baker Hughes Company,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1701605/000170160519000021/fiscalyear2018form10-k.htm,verified_override,BHGE/Baker Hughes public successor after the 2017 combination.
sec::BLK,2011-04-04,2024-10-01,0001364742,BlackRock Inc. (predecessor),reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/2012383/000119312524229601/d856271d8k12b.htm,verified_override,BlackRock predecessor before the 2024 holding-company succession.
sec::BLK,2024-10-01,,0002012383,BlackRock Inc. (successor),reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/2012383/000119312524229601/d856271d8k12b.htm,verified_override,BlackRock successor issuer from the 2024-10-01 8-K12B.
sec::CI,1996-01-02,2018-12-20,0000701221,Cigna Corporation (old Cigna),reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1739940/000104746919000792/a2237767z10-k.htm,verified_override,Old Cigna predecessor before the Express Scripts combination.
sec::CI,2018-12-20,,0001739940,The Cigna Group,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1739940/000104746919000792/a2237767z10-k.htm,verified_override,Cigna public parent from the 2018-12-20 merger.
sec::DD,1996-01-02,2017-09-01,0000030554,E. I. du Pont de Nemours and Company,reviewed_membership_episode,https://www.sec.gov/edgar/browse/?CIK=30554,verified_override,Legacy DuPont membership episode before the DowDuPont merger.
sec::DD,2019-06-03,,0001666700,DuPont de Nemours Inc.,reviewed_membership_episode,https://www.sec.gov/edgar/browse/?CIK=1666700,verified_override,Post-separation DuPont membership episode; the 2017-2019 nonmember gap is not bridged.
sec::DIS,1996-01-02,2019-03-20,0001001039,The Walt Disney Company (predecessor),reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1744489/000095015719000353/form8k.htm,verified_override,Disney predecessor before the 21st Century Fox transaction.
sec::DIS,2019-03-20,,0001744489,The Walt Disney Company,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1744489/000095015719000353/form8k.htm,verified_override,Disney successor public parent from the 2019-03-20 transaction.
sec::DOW,1996-01-02,2017-09-01,0000029915,The Dow Chemical Company,reviewed_membership_episode,https://www.sec.gov/edgar/browse/?CIK=29915,verified_override,Legacy Dow membership episode before the DowDuPont merger.
sec::DOW,2019-04-02,,0001751788,Dow Inc.,reviewed_membership_episode,https://www.sec.gov/edgar/browse/?CIK=1751788,verified_override,Independent Dow membership episode after the 2019 separation; the nonmember gap is not bridged.
sec::FOX,2015-09-21,2019-03-19,0001308161,Twenty-First Century Fox Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1308161/000119312519079034/d721340d8k.htm,verified_override,Class B predecessor before the New Fox distribution.
sec::FOX,2019-03-19,,0001754301,Fox Corporation,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1308161/000119312519079034/d721340d8k.htm,verified_override,New Fox Class B successor from standalone trading on 2019-03-19.
sec::FOXA,2004-12-20,2019-03-19,0001308161,Twenty-First Century Fox Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1308161/000119312519079034/d721340d8k.htm,verified_override,Class A predecessor before the New Fox distribution.
sec::FOXA,2019-03-19,,0001754301,Fox Corporation,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1308161/000119312519079034/d721340d8k.htm,verified_override,New Fox Class A successor from standalone trading on 2019-03-19.
sec::GOOG,2014-04-03,2015-10-02,0001288776,Google Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1288776/000119312515336550/d56649d8k.htm,verified_override,Google Class C predecessor before the Alphabet holding-company reorganization.
sec::GOOG,2015-10-02,,0001652044,Alphabet Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1288776/000119312515336550/d56649d8k.htm,verified_override,Alphabet Class C successor from 2015-10-02.
sec::GOOGL,2006-04-03,2015-10-02,0001288776,Google Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1288776/000119312515336550/d56649d8k.htm,verified_override,Google Class A predecessor before the Alphabet holding-company reorganization.
sec::GOOGL,2015-10-02,,0001652044,Alphabet Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1288776/000119312515336550/d56649d8k.htm,verified_override,Alphabet Class A successor from 2015-10-02.
sec::MDT,1996-01-02,2015-01-27,0000064670,Medtronic Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/64670/000119312515020707/d858380d8k.htm,verified_override,US Medtronic predecessor through the 2015-01-26 transaction close.
sec::MDT,2015-01-27,,0001613103,Medtronic plc,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/1613103/000119312515020681/d859999dex991.htm,verified_override,Irish Medtronic public successor from 2015-01-27 trading.
sec::SNDK,2006-04-20,2016-05-12,0001000180,SanDisk Corporation (legacy),reviewed_membership_episode,https://www.sec.gov/edgar/browse/?CIK=1000180,verified_override,Legacy SanDisk membership episode through Western Digital acquisition.
sec::SNDK,2025-11-28,,0002023554,Sandisk Corporation,reviewed_membership_episode,https://www.sec.gov/edgar/browse/?CIK=2023554,verified_override,New independent Sandisk membership episode; the nine-year nonmember gap is not bridged.
sec::WBA,1996-01-02,2014-12-31,0000104207,Walgreen Co.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/104207/000119312514457669/d843793d8k.htm,verified_override,Walgreen predecessor before the holding-company reorganization.
sec::WBA,2014-12-31,2025-08-28,0001618921,Walgreens Boots Alliance Inc.,reviewed_sec_filing,https://www.sec.gov/Archives/edgar/data/104207/000119312514457669/d843793d8k.htm,verified_override,Walgreens Boots Alliance successor for the remainder of the frozen membership episode.
sec::WRK,,,0001636023,WestRock Company,reviewed_membership_episode,https://www.sec.gov/edgar/browse/?CIK=1636023,verified_override,The frozen membership ends at the 2024 Smurfit WestRock transaction; later successor CIK is not backfilled.
