process_id,frequency,primary_status,tags
UNI_RIDGE__XS001_MOM_255_0,monthly,not_qualified,not_qualified
UNI_RIDGE__XS002_MOM_12_1,monthly,not_qualified,not_qualified
UNI_RIDGE__XS003_MOM_12_7,monthly,not_qualified,not_qualified
UNI_RIDGE__XS004_HIGH_52W,monthly,not_qualified,not_qualified
UNI_RIDGE__XS007_ST_REV_21,monthly,not_qualified,not_qualified
UNI_RIDGE__XS008_SAME_MONTH_5Y,monthly,invalid,invalid
UNI_RIDGE__XS013_LOW_BETA_FP,monthly,invalid,invalid
UNI_RIDGE__XS015_MAX_21,monthly,not_qualified,not_qualified
UNI_RIDGE__XS018_AMIHUD_252,monthly,not_qualified,not_qualified
UNI_RIDGE__XS019_PRICE_DELAY_52W,monthly,not_qualified,not_qualified
UNI_RIDGE__XS020_VOLUME_SHOCK_50D,monthly,not_qualified,not_qualified
UNI_RIDGE__XS032_GROSS_PROFIT_AT,monthly,not_qualified,not_qualified
UNI_RIDGE__XS041_ASSET_GROWTH,monthly,not_qualified,not_qualified
UNI_RIDGE__XS056_CFO_ACCRUALS_PT,monthly,not_qualified,not_qualified
AB_LGBM__ALL14_S5_NO_RSP,weekly,invalid,invalid
AB_LGBM__ROLE5_S1_NO_RSP,weekly,invalid,invalid
AB_RIDGE__ALL14_S5_NO_RSP,weekly,not_qualified,no_rsp_mechanism_control
AB_RIDGE__ROLE5_S1_NO_RSP,weekly,not_qualified,no_rsp_mechanism_control
FO_LGBM__ALL14,weekly,invalid,invalid
FO_LGBM__ROLE5,weekly,invalid,invalid
FO_RIDGE__ALL14,weekly,not_qualified,not_qualified
FO_RIDGE__ROLE5,weekly,not_qualified,not_qualified
FS_LGBM__ALL14_S6,weekly,invalid,invalid
FS_LGBM__ROLE5_S2,weekly,invalid,invalid
FS_RIDGE__ALL14_S6,weekly,not_qualified,not_qualified
FS_RIDGE__ROLE5_S2,weekly,not_qualified,exploratory_unstable
RAW__XS001_MOM_255_0,weekly,not_qualified,not_qualified
RAW__XS002_MOM_12_1,weekly,not_qualified,not_qualified
RAW__XS003_MOM_12_7,weekly,not_qualified,exploratory_unstable
RAW__XS004_HIGH_52W,weekly,not_qualified,not_qualified
RAW__XS007_ST_REV_21,weekly,not_qualified,exploratory_unstable
RAW__XS008_SAME_MONTH_5Y,weekly,not_qualified,not_qualified
RAW__XS013_LOW_BETA_FP,weekly,not_qualified,not_qualified
RAW__XS015_MAX_21,weekly,not_qualified,not_qualified
RAW__XS018_AMIHUD_252,weekly,not_qualified,not_qualified
RAW__XS019_PRICE_DELAY_52W,weekly,not_qualified,not_qualified
RAW__XS020_VOLUME_SHOCK_50D,weekly,not_qualified,not_qualified
RAW__XS032_GROSS_PROFIT_AT,weekly,not_qualified,not_qualified
RAW__XS041_ASSET_GROWTH,weekly,not_qualified,not_qualified
RAW__XS056_CFO_ACCRUALS_PT,weekly,not_qualified,not_qualified
STATIC_DIM6_ALL14,weekly,not_qualified,not_qualified
STATIC_EQ_ALL14,weekly,not_qualified,not_qualified
STATIC_EQ_ROLE5,weekly,not_qualified,not_qualified
UNI_LGBM__XS001_MOM_255_0,weekly,not_qualified,not_qualified
UNI_LGBM__XS002_MOM_12_1,weekly,not_qualified,not_qualified
UNI_LGBM__XS003_MOM_12_7,weekly,not_qualified,not_qualified
UNI_LGBM__XS004_HIGH_52W,weekly,not_qualified,not_qualified
UNI_LGBM__XS007_ST_REV_21,weekly,not_qualified,exploratory_unstable
UNI_LGBM__XS008_SAME_MONTH_5Y,weekly,invalid,invalid
UNI_LGBM__XS013_LOW_BETA_FP,weekly,invalid,invalid
UNI_LGBM__XS015_MAX_21,weekly,not_qualified,not_qualified
UNI_LGBM__XS018_AMIHUD_252,weekly,not_qualified,not_qualified
UNI_LGBM__XS019_PRICE_DELAY_52W,weekly,not_qualified,not_qualified
UNI_LGBM__XS020_VOLUME_SHOCK_50D,weekly,not_qualified,not_qualified
UNI_LGBM__XS032_GROSS_PROFIT_AT,weekly,not_qualified,exploratory_unstable
UNI_LGBM__XS041_ASSET_GROWTH,weekly,not_qualified,not_qualified
UNI_LGBM__XS056_CFO_ACCRUALS_PT,weekly,not_qualified,not_qualified
UNI_RIDGE__XS001_MOM_255_0,weekly,not_qualified,not_qualified
UNI_RIDGE__XS002_MOM_12_1,weekly,not_qualified,not_qualified
UNI_RIDGE__XS003_MOM_12_7,weekly,not_qualified,not_qualified
UNI_RIDGE__XS004_HIGH_52W,weekly,not_qualified,not_qualified
UNI_RIDGE__XS007_ST_REV_21,weekly,not_qualified,exploratory_unstable
UNI_RIDGE__XS008_SAME_MONTH_5Y,weekly,invalid,invalid
UNI_RIDGE__XS013_LOW_BETA_FP,weekly,invalid,invalid
UNI_RIDGE__XS015_MAX_21,weekly,not_qualified,not_qualified
UNI_RIDGE__XS018_AMIHUD_252,weekly,not_qualified,not_qualified
UNI_RIDGE__XS019_PRICE_DELAY_52W,weekly,not_qualified,not_qualified
UNI_RIDGE__XS020_VOLUME_SHOCK_50D,weekly,not_qualified,not_qualified
UNI_RIDGE__XS032_GROSS_PROFIT_AT,weekly,not_qualified,not_qualified
UNI_RIDGE__XS041_ASSET_GROWTH,weekly,not_qualified,not_qualified
UNI_RIDGE__XS056_CFO_ACCRUALS_PT,weekly,not_qualified,not_qualified
